Run #,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,CA d4,CDCA d4,DCA d4
Run 3,A,VIII,1,A-VIII-1,0.008681,0.004848,0.007667,0.006458,0.0014,0.126943,0.008001,0.003904,1.254811,0.000302,0.036077,0.026067,0.032195
Run 3,A,VIII,2,A-VIII-2,0.009986,0.00335,0.005909,0.007356,0.000791,0.232288,0.006573,0.005161,2.09716,0.000606,0.032148,0.023303,0.029032
Run 3,A,VIII,3,A-VIII-3,0.007754,0.006307,0.007706,0.008346,0.00131,0.220291,0.009144,0.00354,2.693186,0.000332,0.028058,0.021102,0.028489
Run 3,B,NI,1,B-NI-1,0.008184,0.006355,0.006665,0.024768,0.001712,0.637005,0.009119,1.630838,18.382666,0.00076,0.031676,0.024514,0.027924
Run 3,B,NI,2,B-NI-2,0.005958,0.005966,0.016055,0.021306,0.001637,11.805439,0.010339,0.810364,18.456025,0.000854,0.030973,0.020689,0.025007
Run 3,B,NI,3,B-NI-3,0.01077,0.015027,0.005718,0.013039,0.00312,0.095582,0.005643,1.357208,18.943247,0.001161,0.03489,0.021863,0.026414
Run 3,B,I,1,B-I-1,0.012266,0.004369,0.005605,0.0105,0.000871,0.084009,0.007279,0.088942,7.285738,0.000438,0.046429,0.037376,0.045647
Run 3,B,I,2,B-I-2,0.00743,0.005359,0.005471,0.007118,0.000796,0.061438,0.00704,0.067741,6.571202,0.000877,0.047626,0.037968,0.046295
Run 3,B,I,3,B-I-3,0.008503,0.005133,0.008444,0.013535,0.00163,0.032516,0.008479,0.237933,10.361366,0.00124,0.044394,0.03325,0.042271
Run 3,B,II,1,B-II-1,0.005536,0.006459,0.00833,0.00986,0.000739,0.97647,0.008098,0.505827,7.459645,0.000351,0.05082,0.051947,0.05392
Run 3,B,II,2,B-II-2,0.006896,0.003517,0.002614,0.013443,0.001151,5.84171,0.008122,0.390953,7.098192,0.00157,0.047826,0.049151,0.055362
Run 3,B,II,3,B-II-3,0.003819,0.00436,0.005322,0.009277,0.000708,0.122271,0.010108,0.325211,7.555688,0.000584,0.047479,0.045708,0.052359
Run 3,B,III,1,B-III-1,0.005485,0.003055,0.002506,0.008302,0.001032,0.056862,0.006386,0.180475,4.598868,0.000109,0.068382,0.081033,0.08551
Run 3,B,III,2,B-III-2,0.002734,0.00166,0.003283,0.003333,0.000954,0.071413,0.008008,0.133442,3.874007,0.000116,0.066752,0.079772,0.089996
Run 3,B,III,3,B-III-3,0.003836,0.004682,0.004493,0.007352,0.000566,0.053356,0.007224,0.1192,5.148646,0.000078,0.063817,0.067317,0.073148
Run 3,B,VIII,1,B-VIII-1,0.01202,0.007906,0.005893,0.004294,0.000866,0.066972,0.009184,0.007995,0.122837,0.000544,0.033694,0.023728,0.028693
Run 3,B,VIII,2,B-VIII-2,0.009141,0.007855,0.005922,0.01407,0.0012,2.674152,0.014682,0.032918,8.904508,0.000831,0.03241,0.021773,0.028453
Run 3,B,VIII,3,B-VIII-3,0.009748,0.002043,0.008677,0.004829,0.000934,3.039118,0.01026,0.022376,8.455862,0.001479,0.032831,0.02472,0.030007
