"BSH_Enzyme","Inhibitor","Bile_Acid","Run","Replicate","log2_concentration","fitted_value","fitted_se","enzyme_baseline","enzyme_inhibitor_interaction","enzyme_bileacid_interaction","inhibitor_potency","ci_lwr","ci_upr","inhibitor_baseline"
"F","X","GLCA","Run 2","1",-0.591595593053603,-0.127423541840949,0.760997957995325,1.89679174312983,-6.44120223264623,5.90088705255778,8.33799397577606,-1.61706087758343,1.36605111775824,-2.69026407713961
"F","X","GLCA","Run 2","2",1.79590187137467,-0.194168310909619,0.762901192823886,1.89679174312983,-6.44120223264623,5.90088705255778,8.33799397577606,-1.71642739869735,1.27414527717228,-2.69026407713961
"F","X","GLCA","Run 2","3",1.69632360966886,-0.0702365188522737,0.780575888026239,1.89679174312983,-6.44120223264623,5.90088705255778,8.33799397577606,-1.60353977372887,1.45631770733399,-2.69026407713961
"F","X","GUDCA","Run 2","1",1.74926756563052,0.278487999929222,0.757423577539011,1.89679174312983,-6.44120223264623,2.38255487249532,8.33799397577606,-1.18967031111453,1.77943011283839,-2.69026407713961
"F","X","GUDCA","Run 2","2",2.28745587763022,0.211743230860552,0.753940314987132,1.89679174312983,-6.44120223264623,2.38255487249532,8.33799397577606,-1.25538069267013,1.70006534207942,-2.69026407713961
"F","X","GUDCA","Run 2","3",1.49912633124185,0.335675022917897,0.758502220936213,1.89679174312983,-6.44120223264623,2.38255487249532,8.33799397577606,-1.11117264966994,1.86215605640002,-2.69026407713961
"F","X","TCA","Run 2","1",-4.58435900454733,-1.60040096878237,0.782108373402251,1.89679174312983,-6.44120223264623,1.71436786298392,8.33799397577606,-3.06763328684082,-0.0017684631039945,-2.69026407713961
"F","X","TCA","Run 2","2",-4.73915659414505,-1.66714573785104,0.766933570430839,1.89679174312983,-6.44120223264623,1.71436786298392,8.33799397577606,-3.14716264901094,-0.140783052922053,-2.69026407713961
"F","X","TCA","Run 2","3",-4.4710514200494,-1.5432139457937,0.791847528781658,1.89679174312983,-6.44120223264623,1.71436786298392,8.33799397577606,-3.04559104286987,0.058451269954227,-2.69026407713961
"F","X","TCDCA","Run 2","1",-1.65786705590444,-0.76699464650669,0.784949671206262,1.89679174312983,-6.44120223264623,2.3573996067896,8.33799397577606,-2.1997963892983,0.877206321830248,-2.69026407713961
"F","X","TCDCA","Run 2","2",-1.95809154378108,-0.83373941557536,0.783239338075386,1.89679174312983,-6.44120223264623,2.3573996067896,8.33799397577606,-2.2839686580091,0.786329547246409,-2.69026407713961
"F","X","TCDCA","Run 2","3",-3.11214624627828,-0.709807623518015,0.786881187664398,1.89679174312983,-6.44120223264623,2.3573996067896,8.33799397577606,-2.17564731614783,0.908926939496613,-2.69026407713961
"F","X","TDCA","Run 2","1",-3.16051279712025,-1.15301266390836,0.750206863073987,1.89679174312983,-6.44120223264623,1.7360713223656,8.33799397577606,-2.59938783886382,0.341423064386211,-2.69026407713961
"F","X","TDCA","Run 2","2",-2.97834483170275,-1.21975743297703,0.756748130878129,1.89679174312983,-6.44120223264623,1.7360713223656,8.33799397577606,-2.68951826816771,0.276934404874557,-2.69026407713961
"F","X","TDCA","Run 2","3",-2.97512230255804,-1.09582564091968,0.775484598096452,1.89679174312983,-6.44120223264623,1.7360713223656,8.33799397577606,-2.62408260728854,0.415817017249553,-2.69026407713961
"F","X","TLCA","Run 2","1",5.37999715114289,1.80718934696085,0.761031290143052,1.89679174312983,-6.44120223264623,6.83952179598278,8.33799397577606,0.326360205450787,3.30960286281155,-2.69026407713961
"F","X","TLCA","Run 2","2",6.41181359840456,1.74044457789218,0.749357199073882,1.89679174312983,-6.44120223264623,6.83952179598278,8.33799397577606,0.242264786333892,3.17974500670351,-2.69026407713961
"F","X","TLCA","Run 2","3",6.27500704749987,1.86437636994952,0.758807763261256,1.89679174312983,-6.44120223264623,6.83952179598278,8.33799397577606,0.328946009558656,3.30347244154278,-2.69026407713961
"F","X","TUDCA","Run 2","1",-2.14281230925033,-0.900814698681324,0.767054425972529,1.89679174312983,-6.44120223264623,0.0511122125357555,8.33799397577606,-2.38502371276529,0.621829637047022,-2.69026407713961
"F","X","TUDCA","Run 2","2",-1.7887829411743,-0.967559467749994,0.766794360333616,1.89679174312983,-6.44120223264623,0.0511122125357555,8.33799397577606,-2.4599524622319,0.545881430275875,-2.69026407713961
"F","X","TUDCA","Run 2","3",-1.92930224189635,-0.843627675692649,0.765780380839051,1.89679174312983,-6.44120223264623,0.0511122125357555,8.33799397577606,-2.32743274001089,0.674426352878185,-2.69026407713961
"F","XI","GCA","Run 4","1",2.96990902030372,1.10939637395481,0.793839208064456,1.89679174312983,2.45745778975858,1.69134208578994,-0.560666046628753,-0.489579455044298,2.62227024056837,-9.56843193099836
"F","XI","GCA","Run 4","2",3.83176527681346,1.10510534240462,0.78842103668058,1.89679174312983,2.45745778975858,1.69134208578994,-0.560666046628753,-0.478977453687956,2.61163301009992,-9.56843193099836
"F","XI","GCA","Run 4","3",1.63566416130952,1.1252589631851,0.795277318315772,1.89679174312983,2.45745778975858,1.69134208578994,-0.560666046628753,-0.48143626193869,2.63605082585914,-9.56843193099836
"F","XI","GCDCA","Run 4","1",0.818947081083936,1.42634865692967,0.76413962596494,1.89679174312983,2.45745778975858,3.66430755779228,-0.560666046628753,-0.0774059597184737,2.91802137406409,-9.56843193099836
"F","XI","GCDCA","Run 4","2",1.67935032348685,1.42205762537948,0.78397166014242,1.89679174312983,2.45745778975858,3.66430755779228,-0.560666046628753,-0.112015445349421,2.96115346240887,-9.56843193099836
