Run,BSH_Enzyme,BSH_IP_Conc,Inhibitor,Inhibitor_IP_Conc,Replicate,Sample_ID,TUDCA_Conc,TCA_Conc,TLCA_Conc,GUDCA_Conc,GCDCA_Conc,GDCA_Conc,GCA_Conc,GLCA_Conc,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,inhibitor_compound_canonicalized,Inhibitor_Complexity,Inhibitor_H_Bond_Acceptor,Inhibitor_H_Bond_Donor,Inhibitor_Rotatable_Bonds,Inhibitor_Mass_Exact,Inhibitor_Molecular_Weight,Inhibitor_Polar_Surface_Area,Inhibitor_Weight_Monoisotopic,Protein_Organism,Protein_Molecular_Weight,Protein_Aromaticity,Protein_Instability_Index,Protein_Isoelectric_Point,Protein_GRAVY,Protein_AA_Percent_A,Protein_AA_Percent_C,Protein_AA_Percent_D,Protein_AA_Percent_E,Protein_AA_Percent_F,Protein_AA_Percent_G,Protein_AA_Percent_H,Protein_AA_Percent_I,Protein_AA_Percent_K,Protein_AA_Percent_L,Protein_AA_Percent_M,Protein_AA_Percent_N,Protein_AA_Percent_P,Protein_AA_Percent_Q,Protein_AA_Percent_R,Protein_AA_Percent_S,Protein_AA_Percent_T,Protein_AA_Percent_V,Protein_AA_Percent_W,Protein_AA_Percent_Y
Run 1,JL885,7323.132,NI,0.0,CV (%),JL885-NI-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,24.2068022407126,25.4709061512561,50.4960017440798,67.5606109950745,91.9382709209209,59.5894725250409,28.010784490708,57.1857498885963,77.4163592843931,20.0037655954128,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 6,JL885,7323.132,NI,0.0,Average,JL885-NI-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,0.241927666666667,0.102875,0.0876876666666667,0.042561,0.0475546666666667,1.08955866666667,0.169196,6.33614233333333,4.86421966666667,0.0498296666666667,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 6,JL885,7323.132,NI,0.0,SD,JL885-NI-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,0.0332148222986867,0.0071501231457926,0.0046593980655588,0.0083475680290729,0.0082027142052697,0.537760711671403,0.0055128394680055,0.0774301242691327,0.0564015360813279,0.0081097389189377,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 6,JL885,7323.132,NI,0.0,CV (%),JL885-NI-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,13.729236823687,6.95030196431851,5.31362988967528,19.6131858487181,17.2490205067915,49.3558289354529,3.25825638195086,1.22203890310018,1.15951868843083,16.2749210689838,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 1,JL885,7323.132,R,37640.0,Average,JL885-R-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,0.132863333333333,0.0261233333333333,0.0348066666666667,0.07959,0.00524,0.0078866666666666,0.02336,0.0026066666666666,0.29542,0.0033733333333333,1.0,680.0,7.0,5.0,5.0,376.13828437,376.4,155.0,376.13828437,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 1,JL885,7323.132,R,37640.0,SD,JL885-R-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,0.0276164196327716,0.00159199036848,0.0108992400346691,0.0167897677172735,0.0026726017286531,0.0028555268048704,0.0107161746906254,0.0004277070648625,0.0674679190430533,0.0037987410195133,1.0,680.0,7.0,5.0,5.0,376.13828437,376.4,155.0,376.13828437,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 1,JL885,7323.132,R,37640.0,CV (%),JL885-R-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,20.7855839078539,6.09413181758357,31.3136564872699,21.0953231778785,51.0038497834578,36.2070178132341,45.8740354906909,16.4081994192792,22.8379659613612,112.610899787945,1.0,680.0,7.0,5.0,5.0,376.13828437,376.4,155.0,376.13828437,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 1,JL885,7323.132,CAPE,28431.0,Average,JL885-CAPE-1,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,0.0882566666666667,0.0302,0.0427133333333333,0.0686766666666667,0.0120033333333333,0.0095366666666666,0.0143333333333333,0.0031833333333333,0.210316666666667,0.00071,1.0,347.0,4.0,2.0,6.0,284.10485899,284.31,66.8,284.10485899,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 1,JL885,7323.132,CAPE,28431.0,SD,JL885-CAPE-2,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,0.0349660654539989,0.0252111542774225,0.0022932582352045,0.0242867336900896,0.004002553351716,0.0044936659125187,0.004480182287958,0.0026925143144156,0.0044562802126138,0.0006366317616958,1.0,347.0,4.0,2.0,6.0,284.10485899,284.31,66.8,284.10485899,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
Run 1,JL885,7323.132,CAPE,28431.0,CV (%),JL885-CAPE-3,49970.0,16338.0,48370.0,44960.0,44960.0,44960.0,46460.0,43360.0,39.6186110065327,83.4806433027235,5.36895169784108,35.3638795662131,33.3453486674484,47.1198802431191,31.2570857299402,84.5816014999691,2.11884311559416,89.6664453092789,1.0,347.0,4.0,2.0,6.0,284.10485899,284.31,66.8,284.10485899,Ligilactobacillus salivarius,36615.662,0.114,31.159,4.914,-0.386,0.04,0.009,0.062,0.071,0.052,0.074,0.012,0.077,0.065,0.086,0.012,0.099,0.037,0.025,0.031,0.062,0.062,0.062,0.006,0.056
